vi_period,vi_threshold,stop_loss_pct,take_profit_pct,trailing_stop_pct,final_equity,total_return,max_drawdown,win_rate,profit_factor,num_trades,score
24,0.3,0.02,0.05,0.025,10005.920408499996,0.0005920408499996483,0.01990871274732997,0.37719298245614036,1.006274149723534,114,0.0005684673075649922
24,0.3,0.03,0.05,0.025,10005.829782500005,0.0005829782500004513,0.02054782871465964,0.38392857142857145,1.006157551408569,112,0.0005590203755496887
24,0.3,0.025,0.05,0.025,10005.829782500005,0.0005829782500004513,0.02054782871465964,0.38392857142857145,1.006157551408569,112,0.0005590203755496887
24,0.3,0.02,0.07,0.025,10004.612188499998,0.0004612188499997501,0.019843047909585274,0.39622641509433965,1.00527395347123,106,0.00044291487452505234
24,0.3,0.025,0.08,0.025,9999.782833500007,-2.1716649999325455e-05,0.020249546685445142,0.40384615384615385,0.9981844941983806,104,-2.1716649999325455e-05
24,0.3,0.03,0.08,0.025,9999.782833500007,-2.1716649999325455e-05,0.020249546685445142,0.40384615384615385,0.9981844941983806,104,-2.1716649999325455e-05
24,0.3,0.03,0.06,0.025,9997.914577000005,-0.00020854229999949894,0.020249546685445142,0.3925233644859813,0.9955510194084342,107,-0.00020854229999949894
24,0.3,0.025,0.06,0.025,9997.914577000005,-0.00020854229999949894,0.020249546685445142,0.3925233644859813,0.9955510194084342,107,-0.00020854229999949894
24,0.3,0.03,0.07,0.025,9997.764771500004,-0.0002235228499996083,0.020249546685445142,0.40384615384615385,0.9952853987457165,104,-0.0002235228499996083
24,0.3,0.025,0.07,0.025,9997.764771500004,-0.0002235228499996083,0.020249546685445142,0.40384615384615385,0.9952853987457165,104,-0.0002235228499996083
24,0.3,0.02,0.08,0.025,9995.502849999999,-0.00044971500000010566,0.019843047909585274,0.39622641509433965,0.9919230934159896,106,-0.00044971500000010566
24,0.3,0.02,0.06,0.025,9993.634593499997,-0.0006365406500002791,0.019843047909585274,0.3853211009174312,0.9894717251115523,109,-0.0006365406500002791
24,0.3,0.02,0.04,0.025,9979.316100999997,-0.0020683899000003294,0.01949333029907425,0.3697478991596639,0.9732992377910182,119,-0.0020683899000003294
24,0.3,0.03,0.04,0.025,9977.710918000002,-0.0022289081999997506,0.01986921275218368,0.37606837606837606,0.9713804634812099,117,-0.0022289081999997506
24,0.3,0.025,0.04,0.025,9977.710918000002,-0.0022289081999997506,0.01986921275218368,0.37606837606837606,0.9713804634812099,117,-0.0022289081999997506
24,0.4,0.02,0.06,0.025,9963.489277000004,-0.0036510722999995777,0.014092817353568765,0.38028169014084506,0.9237374522303411,71,-0.0036510722999995777
24,0.25,0.02,0.05,0.025,9958.808522999994,-0.004119147700000576,0.017642627351777143,0.3888888888888889,0.9542651120768775,144,-0.004119147700000576
24,0.5,0.02,0.05,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.025,0.07,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.02,0.08,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.025,0.04,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.02,0.07,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.025,0.05,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.03,0.08,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.03,0.07,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.025,0.06,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.02,0.06,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.03,0.06,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.025,0.08,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.03,0.05,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.03,0.04,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.02,0.04,0.015,9957.565302000005,-0.004243469799999548,0.008022250172730004,0.3488372093023256,0.7723522845973583,43,-0.004243469799999548
24,0.5,0.02,0.04,0.025,9951.147028999998,-0.004885297100000207,0.0109933073649819,0.3548387096774194,0.7955909579876699,31,-0.004885297100000207
24,0.5,0.02,0.05,0.02,9949.145043999997,-0.005085495600000286,0.008782423088619738,0.34285714285714286,0.7468734551639503,35,-0.005085495600000286
24,0.5,0.03,0.05,0.02,9949.145043999997,-0.005085495600000286,0.008782423088619738,0.34285714285714286,0.7468734551639503,35,-0.005085495600000286
24,0.5,0.025,0.05,0.02,9949.145043999997,-0.005085495600000286,0.008782423088619738,0.34285714285714286,0.7468734551639503,35,-0.005085495600000286
24,0.5,0.02,0.05,0.025,9944.563552499998,-0.005543644750000203,0.0109933073649819,0.3548387096774194,0.7680445857419432,31,-0.005543644750000203
24,0.5,0.02,0.04,0.01,9943.502044000004,-0.005649795599999561,0.006480636103251894,0.2777777777777778,0.6562565583602008,54,-0.005649795599999561
24,0.5,0.02,0.06,0.01,9943.502044000004,-0.005649795599999561,0.006480636103251894,0.2777777777777778,0.6562565583602008,54,-0.005649795599999561
24,0.5,0.02,0.07,0.01,9943.502044000004,-0.005649795599999561,0.006480636103251894,0.2777777777777778,0.6562565583602008,54,-0.005649795599999561
24,0.5,0.02,0.05,0.01,9943.502044000004,-0.005649795599999561,0.006480636103251894,0.2777777777777778,0.6562565583602008,54,-0.005649795599999561
24,0.5,0.02,0.08,0.01,9943.502044000004,-0.005649795599999561,0.006480636103251894,0.2777777777777778,0.6562565583602008,54,-0.005649795599999561
