timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-11-11 09:00:00,105157.8,105485.71,104909.74,104971.63,505.2007,1762855199999,53153973.32225810,147012,230.20106000,24222580.67766650,0
2025-11-11 10:00:00,104971.62,105237.16,104920.25,105176.38,417.15368,1762858799999,43847579.07909620,134408,232.90217000,24479602.06820970,0
2025-11-11 11:00:00,105176.39,105497.99,105145.47,105311.9,372.28222,1762862399999,39207160.31180080,109522,193.93269000,20424538.49959240,0
2025-11-11 12:00:00,105311.9,105500.0,104349.26,104530.83,2106.11964,1762865999999,220451410.02831820,256885,584.44214000,61182835.42781370,0
2025-11-11 13:00:00,104530.83,104706.09,104022.92,104390.92,3314.65247,1762869599999,346021014.68247660,310077,933.80890000,97489813.91867470,0
2025-11-11 14:00:00,104390.93,104665.67,103840.91,104560.16,1215.16933,1762873199999,126665283.24396130,302371,500.63013000,52197091.42599250,0
2025-11-11 15:00:00,104560.15,104560.15,103170.33,103455.99,2215.12756,1762876799999,229518865.86157600,430716,1044.15804000,108190010.71804450,0
2025-11-11 16:00:00,103455.99,103730.0,103206.1,103399.43,664.19158,1762880399999,68737106.33397150,288439,320.04561000,33127744.45435220,0
2025-11-11 17:00:00,103399.42,103637.27,102840.22,103338.99,917.43867,1762883999999,94681418.50915580,255878,507.01291000,52337032.14556030,0
2025-11-11 18:00:00,103338.99,103572.37,103059.52,103401.07,487.03154,1762887599999,50323952.23388220,213975,278.79191000,28808800.54377280,0
2025-11-11 19:00:00,103401.07,103453.07,102861.72,103126.39,479.2973,1762891199999,49467436.21697090,193080,223.09015000,23023476.88016210,0
2025-11-11 20:00:00,103126.39,103224.29,102658.36,102809.27,742.04221,1762894799999,76360761.32350940,246796,358.29190000,36872056.24802840,0
2025-11-11 21:00:00,102809.27,103090.69,102476.09,102633.92,796.94775,1762898399999,81864942.49946190,188342,350.22965000,35988617.08279880,0
2025-11-11 22:00:00,102633.92,103150.02,102503.0,103000.01,652.65633,1762901999999,67119700.14916020,117852,371.09074000,38168930.37646850,0
2025-11-11 23:00:00,103000.02,103209.13,102800.01,103058.99,549.94195,1762905599999,56649457.49268030,191234,322.91704000,33263691.45069180,0
2025-11-12 00:00:00,103059.0,103340.59,102812.64,102885.99,598.51997,1762909199999,61674202.11010120,224740,354.12317000,36492235.47455340,0
2025-11-12 01:00:00,102886.0,103394.01,102687.72,103254.64,999.5861,1762912799999,103143223.68522120,210913,526.09949000,54291938.93078700,0
2025-11-12 02:00:00,103254.63,103413.09,102939.85,103151.66,705.65849,1762916399999,72809861.57807140,162182,403.45314000,41627509.97913430,0
2025-11-12 03:00:00,103151.66,103440.96,103092.5,103310.0,368.29105,1762919999999,38037334.42194760,114274,196.36224000,20279620.65856000,0
2025-11-12 04:00:00,103310.0,103456.82,103011.0,103246.87,320.89726,1762923599999,33126021.63808310,112944,145.90244000,15061245.48007090,0
2025-11-12 05:00:00,103246.87,103467.2,103230.0,103385.3,465.38371,1762927199999,48097850.96377040,113202,240.18201000,24820908.18082060,0
2025-11-12 06:00:00,103385.31,103654.38,103354.34,103366.97,689.4704,1762930799999,71371543.38664640,118226,390.93390000,40470092.83184980,0
2025-11-12 07:00:00,103366.98,103534.98,103051.59,103112.66,689.87309,1762934399999,71281262.60400980,112535,241.35282000,24938165.64642610,0
2025-11-12 08:00:00,103112.65,104228.9,103112.24,104147.24,1064.00216,1762937999999,110482677.61398350,219440,525.14115000,54533853.54622350,0
2025-11-12 09:00:00,104147.25,105079.31,104145.98,104521.56,1348.44138,1762941599999,141142727.65100770,272784,690.46190000,72267570.42012980,0
2025-11-12 10:00:00,104521.56,105038.59,104510.5,104899.99,611.04736,1762945199999,64049653.78923670,186799,350.72272000,36765157.17387550,0
2025-11-12 11:00:00,104900.0,105200.0,104746.85,105020.83,520.21601,1762948799999,54613101.17629010,180765,258.86668000,27178935.72593180,0
2025-11-12 12:00:00,105020.82,105333.33,104821.0,104993.74,538.28345,1762952399999,56554872.36888910,170263,282.89216000,29726884.86549300,0
2025-11-12 13:00:00,104993.74,105187.13,104622.43,105039.99,652.43577,1762955999999,68470417.82943720,190401,352.27196000,36976583.80309100,0
2025-11-12 14:00:00,105039.99,105039.99,103604.57,103990.4,1426.89556,1762959599999,148880611.00095450,359948,726.15692000,75733738.74901560,0
2025-11-12 15:00:00,103990.39,104299.98,101961.97,102173.51,2574.38835,1762963199999,265082353.26202990,542820,1160.19013000,119536735.03059240,0
2025-11-12 16:00:00,102173.51,102285.18,101300.0,101442.61,2365.20417,1762966799999,240636473.94081850,535461,994.00090000,101140244.01690850,0
2025-11-12 17:00:00,101442.62,102167.17,101397.74,101748.02,903.07839,1762970399999,91836605.62881290,308419,519.52046000,52831716.59718490,0
2025-11-12 18:00:00,101748.01,101947.88,101416.69,101542.17,626.0637,1762973999999,63644668.25531250,227622,319.86902000,32521421.45432940,0
2025-11-12 19:00:00,101542.18,101569.66,100813.59,101297.31,974.91965,1762977599999,98658396.73214450,312764,410.02502000,41489861.91240620,0
2025-11-12 20:00:00,101297.31,101846.15,101141.03,101539.01,677.7383,1762981199999,68834941.11016270,213036,392.27091000,39844058.96976930,0
2025-11-12 21:00:00,101539.01,101920.48,101520.41,101920.47,419.00665,1762984799999,42648281.72159780,124027,241.38300000,24566512.37256380,0
2025-11-12 22:00:00,101920.48,101994.12,101448.82,101978.96,401.25193,1762988399999,40827714.17031840,125116,190.60689000,19395801.32333000,0
