vi_period,vi_threshold,sl,tp,trail,final_cap,return,win_rate,profit_factor,num_trades,score
9,0.2,0.015,0.03,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.025,0.08,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.03,0.04,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.02,0.03,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.04,0.1,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.02,0.04,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.03,0.03,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.02,0.05,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.025,0.1,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.02,0.06,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.02,0.08,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.03,0.05,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.04,0.04,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.025,0.06,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.02,0.1,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.04,0.05,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.04,0.06,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.025,0.03,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.025,0.05,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.04,0.08,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.015,0.1,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.025,0.04,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.015,0.08,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.03,0.1,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.015,0.04,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.04,0.03,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.03,0.08,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.015,0.05,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.03,0.06,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
9,0.2,0.015,0.06,0.01,10791.661487999994,0.07916614879999943,0.5357142857142857,3.9507101065123447,112,0.06663159056835213
18,0.2,0.03,0.04,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.015,0.04,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.015,0.08,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.015,0.06,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.015,0.05,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.04,0.04,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.015,0.03,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.02,0.03,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.04,0.05,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.04,0.06,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.04,0.08,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.04,0.1,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.03,0.05,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.015,0.1,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.04,0.03,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.025,0.04,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.03,0.03,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.025,0.1,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.025,0.08,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.025,0.06,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.03,0.06,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.025,0.05,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.025,0.03,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.02,0.1,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.03,0.08,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.02,0.08,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.02,0.06,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.02,0.05,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.03,0.1,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
18,0.2,0.02,0.04,0.01,10702.997064999998,0.07029970649999978,0.5465116279069767,4.597051166076488,86,0.060415609032027556
30,0.2,0.015,0.08,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
