run_id,offset_days,symbol,entry_time_ms,exit_time_ms,side,entry_price,exit_price,quantity,pnl,return_pct,exit_reason
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705883100000,1705883220000,Short,1.0517,1.0357,950.8,15.212800000000012,1.5212800000000013,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705883220000,1705886460000,Short,1.0437,1.0277,958.1,15.329600000000012,1.5329600000000012,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705886460000,1705888440000,Short,1.0333,1.0161,967.7,16.644440000000102,1.6644440000000105,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705886400000,1705890840000,Short,90.61,89.66,11.03,10.47850000000003,1.047850000000003,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705890840000,1705893480000,Short,90.04,88.95,11.1,12.099000000000038,1.2099000000000038,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705888440000,1705902300000,Short,1.0178,1.0362,982.5,-18.07799999999997,-1.8077999999999972,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705893480000,1705912680000,Short,89.08,87.9,11.22,13.239599999999918,1.3239599999999918,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705912680000,1705919280000,Short,88.0,87.03,11.36,11.019199999999987,1.101919999999999,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705902300000,1705920360000,Long,1.0362,1.0551,965.0,18.23849999999992,1.823849999999992,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705920360000,1705921680000,Long,1.0528,1.0749,949.8,20.99058000000001,2.0990580000000008,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705921680000,1705924800000,Long,1.0741,1.0504,931.0,-22.06470000000005,-2.2064700000000053,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705919580000,1705928460000,Short,87.05,89.27,11.48,-25.485599999999987,-2.548559999999999,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705924800000,1705928580000,Short,1.0543,1.0779,948.4,-22.38224000000006,-2.238224000000006,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705928460000,1705934820000,Long,89.24,86.95,11.2,-25.64799999999991,-2.564799999999991,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705928580000,1705936620000,Long,1.0728,1.0491,932.1,-22.090770000000052,-2.209077000000005,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705934820000,1705936680000,Short,87.18,85.84,11.47,15.36980000000004,1.536980000000004,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705936620000,1705939380000,Short,1.0572,1.0838,945.8,-25.15828000000017,-2.515828000000017,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705939380000,1705947480000,Long,1.0749,1.1021,930.3,25.304160000000103,2.5304160000000104,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705936680000,1705949340000,Short,86.01,84.56,11.62,16.849000000000032,1.684900000000003,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705949340000,1705951200000,Short,85.29,83.54,11.72,20.51,2.051,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705947480000,1705952460000,Long,1.0945,1.0633,913.6,-28.504320000000103,-2.8504320000000107,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705952460000,1705954620000,Short,1.0679,1.1016,936.4,-31.55667999999985,-3.1556679999999853,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705954620000,1705955280000,Long,1.0979,1.1307,910.8,29.874239999999944,2.9874239999999945,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705955280000,1705962840000,Long,1.1247,1.0899,889.1,-30.94067999999995,-3.094067999999995,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705962840000,1705969440000,Short,1.091,1.0579,916.5,30.336149999999915,3.0336149999999917,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705969500000,1705980960000,Short,1.0569,1.0919,946.1,-33.11350000000014,-3.311350000000014,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705980960000,1705989420000,Long,1.0875,1.1195,919.5,29.424000000000028,2.942400000000003,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705989420000,1705995780000,Long,1.1145,1.0829,897.2,-28.351520000000068,-2.8351520000000066,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705951200000,1705997640000,Short,83.99,82.01,11.9,23.56199999999988,2.3561999999999883,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705997640000,1705999140000,Short,82.06,81.16,12.18,10.962000000000067,1.096200000000007,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705995780000,1705999620000,Short,1.0846,1.0544,921.9,27.841380000000004,2.7841380000000004,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1705999140000,1706002140000,Short,81.15,80.05,12.32,13.552000000000106,1.3552000000000106,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1705999620000,1706002140000,Short,1.0548,1.0228,948.0,30.336000000000027,3.0336000000000025,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706002140000,1706003400000,Short,1.0315,1.0668,969.4,-34.21981999999989,-3.421981999999989,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706003400000,1706012640000,Long,1.066,1.1023,938.0,34.0494,3.40494,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706012640000,1706022540000,Long,1.0994,1.1393,909.5,36.289050000000046,3.628905000000005,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706002140000,1706024340000,Short,80.06,82.53,12.49,-30.850299999999987,-3.085029999999999,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706022540000,1706028900000,Long,1.1269,1.1706,887.3,38.77501000000006,3.8775010000000063,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706028900000,1706032980000,Long,1.1662,1.2158,857.4,42.52704000000008,4.252704000000008,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706032980000,1706035380000,Long,1.2103,1.1563,826.2,-44.61479999999986,-4.461479999999986,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706035380000,1706044740000,Short,1.1637,1.1121,859.3,44.33987999999989,4.433987999999989,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706044740000,1706050560000,Short,1.1155,1.1676,896.4,-46.70244000000003,-4.670244000000003,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706024340000,1706052480000,Long,82.18,83.99,12.16,22.009599999999857,2.200959999999986,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706052480000,1706057160000,Long,83.93,85.15,11.91,14.530199999999986,1.4530199999999986,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706050560000,1706077980000,Long,1.1665,1.2143,857.2,40.97415999999987,4.097415999999987,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706057160000,1706080980000,Long,85.0,86.28,11.76,15.052800000000014,1.5052800000000013,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706080980000,1706084100000,Long,86.25,87.29,11.59,12.053600000000072,1.205360000000007,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706077980000,1706087820000,Long,1.2082,1.2396,827.6,25.98664000000008,2.598664000000008,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706087820000,1706092140000,Long,1.2382,1.2696,807.6,25.358640000000076,2.5358640000000077,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706084100000,1706093340000,Long,87.32,88.49,11.45,13.39650000000002,1.339650000000002,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706093340000,1706102220000,Long,88.35,86.18,11.31,-24.54269999999986,-2.454269999999986,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706092140000,1706107080000,Long,1.268,1.2991,788.6,24.525459999999928,2.452545999999993,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706102220000,1706138880000,Short,86.28,88.38,11.59,-24.338999999999935,-2.4338999999999933,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706138880000,1706140200000,Long,88.21,89.36,11.33,13.029500000000064,1.3029500000000065,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706107080000,1706145120000,Long,1.2905,1.2533,774.8,-28.82255999999992,-2.882255999999992,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706145120000,1706150460000,Short,1.2617,1.23,792.5,25.122250000000047,2.512225000000005,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706150460000,1706156520000,Short,1.2318,1.264,811.8,-26.13996,-2.613996,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706140200000,1706158140000,Long,89.19,87.29,11.21,-21.298999999999907,-2.129899999999991,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706156520000,1706168340000,Long,1.2608,1.2888,793.1,22.20680000000002,2.220680000000002,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706168340000,1706176680000,Long,1.2843,1.255,778.6,-22.81298000000008,-2.281298000000008,stop
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706158140000,1706182680000,Short,87.37,89.19,11.44,-20.82079999999992,-2.082079999999992,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706176680000,1706183400000,Short,1.2572,1.2289,795.4,22.50981999999999,2.250981999999999,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706183400000,1706183820000,Short,1.2321,1.2048,811.6,22.156679999999906,2.21566799999999,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706182680000,1706185860000,Long,88.98,87.44,11.23,-17.29420000000007,-1.7294200000000073,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706183820000,1706186760000,Short,1.2107,1.183,825.9,22.877430000000047,2.2877430000000047,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706185860000,1706189100000,Short,87.53,86.46,11.42,12.219400000000084,1.2219400000000082,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706189100000,1706202900000,Short,86.69,85.5,11.53,13.720699999999972,1.3720699999999972,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706202900000,1706211480000,Short,85.48,87.72,11.69,-26.18559999999994,-2.6185599999999942,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706186760000,1706231220000,Short,1.1878,1.1592,841.8,24.075479999999963,2.407547999999996,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706231220000,1706235360000,Short,1.1624,1.1883,860.2,-22.27917999999984,-2.227917999999984,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706235360000,1706254800000,Long,1.1854,1.2098,843.5,20.58139999999998,2.058139999999998,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706211480000,1706265420000,Long,87.57,88.86,11.41,14.71890000000007,1.471890000000007,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706265420000,1706265720000,Long,88.82,89.72,11.25,10.125000000000064,1.0125000000000064,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706254800000,1706265720000,Long,1.1994,1.2223,833.7,19.091729999999934,1.9091729999999936,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706265720000,1706266620000,Long,89.44,90.37,11.18,10.397400000000076,1.0397400000000077,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706266620000,1706267040000,Long,90.27,91.32,11.07,11.623499999999968,1.1623499999999969,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706265720000,1706267460000,Long,1.2186,1.2416,820.6,18.87380000000011,1.8873800000000112,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1706267040000,1706269320000,Long,91.07,92.19,10.98,12.29760000000005,1.229760000000005,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1706267460000,1706277660000,Long,1.2399,1.2631,806.5,18.71079999999991,1.871079999999991,target
