dt,timestamp_ms,balance,pnl,drawdown,drawdown_pct,exposure_notional,daily_return
2025-01-15 00:00:00+00:00,1736974800000,70000.0,0.0,0.0,0.0,0.0,0.0
2025-01-16 00:00:00+00:00,1737063000000,70000.0,0.0,0.0,0.0,0.0,0.0
2025-01-17 00:00:00+00:00,1737151200000,70000.0,0.0,0.0,0.0,0.0,0.0
2025-01-18 00:00:00+00:00,1737239400000,70000.0,0.0,0.0,0.0,0.0,0.0
2025-01-19 00:00:00+00:00,1737327600000,70000.0,0.0,0.0,0.0,0.0,0.0
2025-01-20 00:00:00+00:00,1737415800000,70000.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 00:00:00+00:00,1737502200000,70067.05246,67.05246000000002,0.0,0.0,3000.0,0.0009578922857143013
2025-01-22 00:00:00+00:00,1737579600000,69998.45664,-1.5433599999995415,68.59582000000228,0.0979940285714318,8000.0,-0.000979002506765414
2025-01-23 00:00:00+00:00,1737667800000,69695.4376,-304.562399999999,492.41628999999375,0.7034518428571339,14000.0,-0.004328938873015664
2025-01-24 00:00:00+00:00,1737756000000,69752.21109,-247.78890999999825,435.64280000000144,0.6223468571428592,19000.0,0.0008145940674888497
2025-01-25 00:00:00+00:00,1737844200000,69888.94509,-111.05490999999752,298.9088000000047,0.4270125714285781,24000.0,0.0019602819446622455
2025-01-26 00:00:00+00:00,1737932400000,69477.69574000001,-522.3042599999969,710.1581499999884,1.0145116428571264,27000.0,-0.005884326190220723
2025-01-27 00:00:00+00:00,1738020600000,71288.52469,1288.5246900000038,520.007540000006,0.7428679142857229,27000.0,0.02606345721044767
2025-01-28 00:00:00+00:00,1738107000000,71423.01728,1423.0172800000034,385.5149500000116,0.5507356428571595,27000.0,0.0018865952211080117
2025-01-29 00:00:00+00:00,1738184400000,71430.17096,1430.170960000003,378.3612700000085,0.5405161000000122,26000.0,0.00010015930819551322
