timestamp_ms,balance,pnl,drawdown,drawdown_pct,open_positions,long_positions,short_positions,exposure_notional,long_exposure_notional,short_exposure_notional,net_exposure_notional
1736899200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736911800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736924400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736937000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736949600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736962200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736974800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736985600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736987400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1736998200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737000000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737010800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737012600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737023400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737025200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737036000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737037800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737048600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737050400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737061200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737063000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737072000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737073800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737075600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737084360000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737086400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737088200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737096720000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1737099000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
