offset_days,run_id,total_pnl,net_return_pct,max_drawdown_pct,trades,profit_factor,ensemble_status,ensemble_reason,source_gate_status,source_gate_reason,optimizer_mode,provenance_validation_status
0,20260628T023514Z-p65843-tpe,18778.569280000043,187.78569280000045,9.700856899999962,12093,1.3144080755221237,pass,"positive OOS PnL, PF 1.314 >= 1.100, and 12093 trades >= 500",rejected,portfolio active weeks 94.00% < 100.00% minimum (47 / 50); portfolio max no-entry gap 7d > 6d; symbol participation failed: BTCUSDT entry_days 54.57% active_weeks 56.00% max_gap 35d; ETHUSDT entry_days 70.00% active_weeks 70.00% max_gap 21d; BNBUSDT entry_days 51.71% active_weeks 52.00% max_gap 42d; SOLUSDT entry_days 61.71% active_weeks 62.00% max_gap 21d; XRPUSDT entry_days 51.43% active_weeks 52.00% max_gap 35d; DOGEUSDT entry_days 62.57% active_weeks 64.00% max_gap 21d; SUIUSDT entry_days 54.00% active_weeks 54.00% max_gap 28d,point_in_time_fold_local,PASS point-in-time optimizer boundary
1,20260628T023513Z-p65832-tpe,14974.905820000044,149.74905820000043,21.229549199999983,11337,1.250148699177587,pass,"positive OOS PnL, PF 1.250 >= 1.100, and 11337 trades >= 500",rejected,portfolio active weeks 94.00% < 100.00% minimum (47 / 50); portfolio max no-entry gap 7d > 6d; symbol participation failed: BTCUSDT entry_days 42.00% active_weeks 42.00% max_gap 56d; ETHUSDT entry_days 68.00% active_weeks 68.00% max_gap 21d; BNBUSDT entry_days 58.00% active_weeks 58.00% max_gap 49d; SOLUSDT entry_days 54.00% active_weeks 54.00% max_gap 56d; XRPUSDT entry_days 48.00% active_weeks 48.00% max_gap 35d; DOGEUSDT entry_days 69.14% active_weeks 70.00% max_gap 14d; SUIUSDT entry_days 40.00% active_weeks 40.00% max_gap 42d,point_in_time_fold_local,PASS point-in-time optimizer boundary
2,20260628T023515Z-p65887-tpe,17383.40054,173.83400539999997,23.731833900000037,11500,1.2826424226427189,pass,"positive OOS PnL, PF 1.283 >= 1.100, and 11500 trades >= 500",rejected,portfolio active weeks 97.96% < 100.00% minimum (48 / 49); portfolio max no-entry gap 7d > 6d; symbol participation failed: BTCUSDT entry_days 46.36% active_weeks 46.94% max_gap 49d; ETHUSDT entry_days 74.34% active_weeks 75.51% max_gap 14d; BNBUSDT entry_days 54.81% active_weeks 55.10% max_gap 49d; SOLUSDT entry_days 55.10% active_weeks 55.10% max_gap 49d; XRPUSDT entry_days 48.98% active_weeks 48.98% max_gap 35d; DOGEUSDT entry_days 61.22% active_weeks 61.22% max_gap 28d; SUIUSDT entry_days 55.10% active_weeks 55.10% max_gap 28d,point_in_time_fold_local,PASS point-in-time optimizer boundary
3,20260628T023523Z-p65904-tpe,13620.959479999969,136.20959479999968,12.168192200000016,10467,1.2537722043430488,pass,"positive OOS PnL, PF 1.254 >= 1.100, and 10467 trades >= 500",rejected,portfolio active weeks 95.92% < 100.00% minimum (47 / 49); portfolio max no-entry gap 7d > 6d; symbol participation failed: BTCUSDT entry_days 44.90% active_weeks 44.90% max_gap 56d; ETHUSDT entry_days 73.47% active_weeks 73.47% max_gap 14d; BNBUSDT entry_days 46.94% active_weeks 46.94% max_gap 56d; SOLUSDT entry_days 55.10% active_weeks 55.10% max_gap 35d; XRPUSDT entry_days 51.02% active_weeks 51.02% max_gap 49d; DOGEUSDT entry_days 62.39% active_weeks 63.27% max_gap 21d; SUIUSDT entry_days 38.78% active_weeks 38.78% max_gap 35d,point_in_time_fold_local,PASS point-in-time optimizer boundary
4,20260628T023514Z-p65865-tpe,14492.036560000031,144.9203656000003,20.10484400000001,11489,1.228917548648839,pass,"positive OOS PnL, PF 1.229 >= 1.100, and 11489 trades >= 500",rejected,portfolio active weeks 95.92% < 100.00% minimum (47 / 49); portfolio max no-entry gap 7d > 6d; symbol participation failed: BTCUSDT entry_days 38.19% active_weeks 38.78% max_gap 49d; ETHUSDT entry_days 70.85% active_weeks 71.43% max_gap 28d; BNBUSDT entry_days 51.02% active_weeks 51.02% max_gap 49d; SOLUSDT entry_days 65.01% active_weeks 65.31% max_gap 14d; XRPUSDT entry_days 55.10% active_weeks 55.10% max_gap 28d; DOGEUSDT entry_days 56.85% active_weeks 57.14% max_gap 35d; SUIUSDT entry_days 42.57% active_weeks 42.86% max_gap 35d,point_in_time_fold_local,PASS point-in-time optimizer boundary
5,20260628T023515Z-p65877-tpe,15817.48077000009,158.17480770000088,18.149729399999963,11202,1.2781135259794512,pass,"positive OOS PnL, PF 1.278 >= 1.100, and 11202 trades >= 500",rejected,portfolio active weeks 91.84% < 100.00% minimum (45 / 49); portfolio max no-entry gap 7d > 6d; symbol participation failed: BTCUSDT entry_days 46.94% active_weeks 46.94% max_gap 42d; ETHUSDT entry_days 73.47% active_weeks 73.47% max_gap 14d; BNBUSDT entry_days 48.98% active_weeks 48.98% max_gap 28d; SOLUSDT entry_days 64.72% active_weeks 65.31% max_gap 21d; XRPUSDT entry_days 42.27% active_weeks 42.86% max_gap 42d; DOGEUSDT entry_days 58.60% active_weeks 59.18% max_gap 28d; SUIUSDT entry_days 46.65% active_weeks 46.94% max_gap 49d,point_in_time_fold_local,PASS point-in-time optimizer boundary
6,20260628T023514Z-p65854-tpe,17957.282179999936,179.57282179999936,22.0422918,11923,1.2845802832878392,pass,"positive OOS PnL, PF 1.285 >= 1.100, and 11923 trades >= 500",rejected,portfolio active weeks 91.84% < 100.00% minimum (45 / 49); portfolio max no-entry gap 7d > 6d; symbol participation failed: BTCUSDT entry_days 46.65% active_weeks 46.94% max_gap 35d; ETHUSDT entry_days 71.43% active_weeks 71.43% max_gap 21d; BNBUSDT entry_days 60.93% active_weeks 61.22% max_gap 21d; SOLUSDT entry_days 67.35% active_weeks 67.35% max_gap 21d; XRPUSDT entry_days 40.82% active_weeks 40.82% max_gap 49d; DOGEUSDT entry_days 79.30% active_weeks 79.59% max_gap 21d; SUIUSDT entry_days 52.77% active_weeks 53.06% max_gap 28d,point_in_time_fold_local,PASS point-in-time optimizer boundary
