run_id,offset_days,symbol,entry_time_ms,exit_time_ms,side,entry_price,exit_price,quantity,pnl,return_pct,exit_reason
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737505620000,1737530460000,Long,3328.53,3294.8,0.3,-10.119000000000003,-1.0119000000000005,stop
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737515880000,1737546180000,Long,253.86,258.1,3.93,16.663200000000035,1.6663200000000034,time
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737530460000,1737546780000,Short,3304.53,3326.53,0.302,-6.644,-0.6644,stop
20260628T023514Z-p65843-tpe,0,SUIUSDT,1737505260000,1737550260000,Short,4.6165,4.5592,216.6,12.411180000000124,1.2411180000000124,time
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737546780000,1737551040000,Long,3325.06,3307.59,0.3,-5.24099999999994,-0.524099999999994,stop
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737546180000,1737552000000,Long,257.87,263.85,3.87,23.142600000000073,2.314260000000007,target
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737551040000,1737552960000,Long,3312.47,3295.37,0.301,-5.1470999999999725,-0.5147099999999972,stop
20260628T023514Z-p65843-tpe,0,BTCUSDT,1737541260000,1737554580000,Short,104823.0,103676.6,0.009,10.317599999999947,1.031759999999995,target
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737525540000,1737554700000,Short,0.36806,0.35886,2716.0,24.98719999999996,2.4987199999999965,target
20260628T023514Z-p65843-tpe,0,BTCUSDT,1737554580000,1737556020000,Short,103803.8,104512.1,0.009,-6.374700000000026,-0.6374700000000025,stop
20260628T023514Z-p65843-tpe,0,BTCUSDT,1737556260000,1737557160000,Long,104623.2,103904.5,0.009,-6.4682999999999735,-0.6468299999999974,stop
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737552000000,1737557160000,Long,261.47,257.35,3.82,-15.738400000000016,-1.5738400000000017,stop
20260628T023514Z-p65843-tpe,0,BTCUSDT,1737557160000,1737558540000,Short,104016.9,104762.3,0.009,-6.708600000000078,-0.6708600000000078,stop
20260628T023514Z-p65843-tpe,0,BTCUSDT,1737558660000,1737560160000,Long,104754.6,103987.6,0.009,-6.903,-0.6902999999999999,stop
20260628T023514Z-p65843-tpe,0,SUIUSDT,1737550260000,1737563820000,Short,4.5584,4.6404,219.3,-17.98259999999997,-1.798259999999997,stop
20260628T023514Z-p65843-tpe,0,SUIUSDT,1737563820000,1737572100000,Long,4.6364,4.5541,215.6,-17.743880000000008,-1.7743880000000007,stop
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737552960000,1737572160000,Short,3298.26,3255.12,0.303,13.0714200000001,1.30714200000001,target
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737557160000,1737574500000,Short,257.95,262.55,3.87,-17.80200000000009,-1.7802000000000089,stop
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737574500000,1737577080000,Long,261.74,269.43,3.82,29.37579999999999,2.937579999999999,target
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737577080000,1737582360000,Long,268.91,263.26,3.71,-20.961500000000125,-2.0961500000000126,stop
20260628T023514Z-p65843-tpe,0,SUIUSDT,1737572100000,1737584280000,Short,4.5591,4.4919,219.3,14.736959999999936,1.4736959999999937,target
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737554700000,1737585000000,Short,0.36001,0.3592,2777.0,2.2493699999999373,0.2249369999999937,time
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737585060000,1737585360000,Short,0.35917,0.36442,2784.0,-14.61600000000009,-1.4616000000000091,stop
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737585360000,1737585420000,Long,0.36035,0.36783,2775.0,20.75699999999996,2.0756999999999963,target
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737585420000,1737586260000,Long,0.36652,0.36127,2728.0,-14.322000000000088,-1.4322000000000088,stop
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737586260000,1737587400000,Long,0.36275,0.35704,2756.0,-15.73675999999998,-1.573675999999998,stop
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737587400000,1737589440000,Short,0.35765,0.36365,2796.0,-16.77599999999986,-1.677599999999986,stop
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737582360000,1737592920000,Short,263.75,255.09,3.79,32.82139999999999,3.2821399999999987,target
20260628T023514Z-p65843-tpe,0,SUIUSDT,1737584280000,1737594600000,Short,4.4927,4.4243,222.5,15.219000000000102,1.5219000000000102,target
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737589440000,1737596820000,Long,0.36338,0.35725,2751.0,-16.863629999999915,-1.6863629999999914,stop
20260628T023514Z-p65843-tpe,0,BTCUSDT,1737560160000,1737596940000,Short,104077.8,102940.2,0.009,10.238400000000052,1.0238400000000052,target
20260628T023514Z-p65843-tpe,0,SUIUSDT,1737594600000,1737598020000,Short,4.4324,4.3631,225.6,15.634080000000033,1.563408000000003,target
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737572160000,1737598680000,Short,3262.0,3206.07,0.306,17.11457999999995,1.7114579999999948,target
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737592920000,1737599880000,Short,256.0,246.74,3.9,36.11399999999996,3.611399999999996,target
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737598680000,1737602220000,Short,3210.97,3234.82,0.311,-7.417350000000113,-0.7417350000000112,stop
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737602220000,1737606060000,Long,3234.34,3210.16,0.309,-7.471620000000089,-0.747162000000009,stop
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737596820000,1737607080000,Short,0.35796,0.34878,2793.0,25.63974000000006,2.563974000000006,target
20260628T023514Z-p65843-tpe,0,BTCUSDT,1737596940000,1737628860000,Short,102991.7,101489.1,0.009,13.52339999999992,1.352339999999992,target
20260628T023514Z-p65843-tpe,0,SUIUSDT,1737598020000,1737629460000,Short,4.3677,4.2974,228.9,16.091670000000107,1.609167000000011,target
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737599880000,1737630180000,Short,246.97,244.02,4.04,11.917999999999957,1.1917999999999955,time
20260628T023514Z-p65843-tpe,0,ETHUSDT,1737606060000,1737633660000,Short,3216.77,3206.89,0.31,3.062800000000034,0.3062800000000034,time
20260628T023514Z-p65843-tpe,0,DOGEUSDT,1737607080000,1737637380000,Short,0.34987,0.34722,2858.0,7.573700000000118,0.7573700000000118,time
20260628T023514Z-p65843-tpe,0,BTCUSDT,1737628860000,1737640020000,Short,101503.0,102330.7,0.009,-7.449299999999973,-0.7449299999999973,stop
20260628T023514Z-p65843-tpe,0,SOLUSDT,1737630180000,1737642660000,Short,244.13,248.7,4.09,-18.69129999999997,-1.869129999999997,stop
20260628T023514Z-p65843-tpe,0,SUIUSDT,1737629460000,1737642660000,Short,4.3099,4.3862,232.0,-17.701599999999956,-1.7701599999999955,stop
