coin,tf,family,name,params,is_sh,oos_sh,oos_ret,n_trades
AAVEUSDT,1d,momentum,mom_ret,"{""lb"": 20, ""thr"": 0.05}",-0.294314519783103,0.2018763540558375,-0.2849938964131199,60.5
AAVEUSDT,1d,momentum,mom_ret,"{""lb"": 50, ""thr"": 0.0}",-1.0346912287247707,1.0449649860875379,1.4669928604119167,24.5
AAVEUSDT,1d,momentum,mom_ret,"{""lb"": 50, ""thr"": 0.02}",-0.9989034281978431,1.149430083431785,1.869738310749717,23.5
AAVEUSDT,1d,momentum,mom_ret,"{""lb"": 50, ""thr"": 0.05}",-0.6206541449079719,1.2075976991282629,2.122333169038241,23.5
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 65, ""os_"": 20}",-0.4642376011908226,-0.3602953036436812,-0.35800976870798173,30.0
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 65, ""os_"": 30}",-0.41614028154021704,-0.5911357758893455,-0.5307431888362486,41.0
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 65, ""os_"": 35}",-0.1251294348280497,-0.3103331952136154,-0.449105498366165,53.0
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 70, ""os_"": 20}",-0.06497545100708904,-0.6651294746985307,-0.43838391609321825,25.0
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 70, ""os_"": 30}",-0.04927789928675379,-0.8560467499942073,-0.5894919271559848,36.0
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 70, ""os_"": 35}",0.25426477416064464,-0.5196496621211423,-0.5180748902818715,48.0
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 80, ""os_"": 20}",0.5664535873409551,0.3159924044730738,0.08254169235525532,15.0
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 80, ""os_"": 30}",0.36997940778681476,-0.1839884061388456,-0.20872618032816903,26.0
AAVEUSDT,1d,meanrev,rsi,"{""ob"": 80, ""os_"": 35}",0.6346508729072675,0.13351945041404334,-0.07106644768145909,38.0
AAVEUSDT,1d,meanrev,zscore,"{""lb"": 20, ""z"": 1.5}",-0.1928533144466277,-0.0697282846994232,-0.2634336301787321,53.0
AAVEUSDT,1d,meanrev,zscore,"{""lb"": 20, ""z"": 2.0}",-0.08413784325394022,0.3834911006751944,0.12224955123017467,36.0
AAVEUSDT,1d,meanrev,zscore,"{""lb"": 20, ""z"": 2.5}",0.5108822175676121,0.454616761764716,0.05985916880918318,15.0
AAVEUSDT,1d,meanrev,zscore,"{""lb"": 50, ""z"": 1.5}",0.3387195478871617,-0.002173782200259129,-0.23155555949605033,36.0
AAVEUSDT,1d,meanrev,zscore,"{""lb"": 50, ""z"": 2.0}",0.673898992565453,-0.8428786695894536,-0.5046369288538206,23.0
AAVEUSDT,1d,meanrev,zscore,"{""lb"": 50, ""z"": 2.5}",0.9441339965820555,-0.06901772264646339,-0.08827329208654278,11.0
AAVEUSDT,1d,meanrev,bb,"{""span"": 20, ""mult"": 1.5}",-0.1928533144466277,-0.0697282846994232,-0.2634336301787321,53.0
