dataset,family,name,params,bars,ppy,is_sharpe,oos_sharpe,oos_ret,oos_maxdd,oos_calmar,turnover,n_trades,total_cost,total_funding,is_ret
cex_daily_SOL,trend,ema_cross,"{""fast"": 10, ""slow"": 50}",1080,365,0.36026815937712586,-0.11698996578048942,-0.32386564917973404,0.416963771344425,-0.6752501284655282,17.0,8.5,0.034,-0.026894010000000003,-0.14666314756384757
cex_daily_SOL,trend,ema_cross,"{""fast"": 10, ""slow"": 100}",1080,365,0.46663878586245155,0.6248980677317066,0.2553396654679927,0.36061893186940297,0.5874254385574647,7.0,3.5,0.014,-0.00843045,0.020055012291902763
cex_daily_SOL,trend,ema_cross,"{""fast"": 10, ""slow"": 200}",1080,365,1.116420764323827,0.6333597285096672,0.2632946080808327,0.33481791941358585,0.6520613524019451,9.0,4.5,0.018000000000000002,-0.009066389999999995,1.938594022613267
cex_daily_SOL,trend,ema_cross,"{""fast"": 20, ""slow"": 50}",1080,365,0.5262478569558856,0.299988462243475,-0.04189963501504401,0.3914006946456214,-0.09074647986243035,17.0,8.5,0.034,-0.00959331,0.1202599359828751
cex_daily_SOL,trend,ema_cross,"{""fast"": 20, ""slow"": 100}",1080,365,0.8078307006128295,0.6910151283253625,0.32618129622419945,0.3455116980088042,0.7796251560671876,9.0,4.5,0.018000000000000002,-0.007910549999999999,0.7802463278037928
cex_daily_SOL,trend,ema_cross,"{""fast"": 20, ""slow"": 200}",1080,365,0.8446083566585256,0.22999518299355423,-0.0968709498776753,0.4631128901617334,-0.17811213117579244,9.0,4.5,0.018000000000000002,-0.007154009999999997,0.8892572285887872
cex_daily_SOL,trend,ema_cross,"{""fast"": 50, ""slow"": 100}",1080,365,0.704304312382889,0.15772785786093077,-0.14962567861166487,0.4912643328128022,-0.26050887568098546,9.0,4.5,0.018000000000000002,-0.006475529999999997,0.5030654882318697
cex_daily_SOL,trend,ema_cross,"{""fast"": 50, ""slow"": 200}",1080,365,0.9166123096340427,-0.05731883151777403,-0.2893138586554844,0.6254112561114713,-0.4007851074256173,5.0,2.5,0.01,-0.0033197099999999983,1.1261536170257402
cex_daily_SOL,trend,ema_slope,"{""span"": 20, ""thr"": 0.0}",1080,365,0.965873038881714,-0.13817992036991358,-0.33384407485898737,0.5054962122245855,-0.5747294862843759,121.0,60.5,0.242,-0.058434269999999996,1.2885909747627942
cex_daily_SOL,trend,ema_slope,"{""span"": 20, ""thr"": 0.001}",1080,365,0.9375452558079806,-0.3713680060368337,-0.4204718928499481,0.553162067828789,-0.6676239882851763,113.0,56.5,0.226,-0.05859732000000001,1.1821983450574196
cex_daily_SOL,trend,ema_slope,"{""span"": 20, ""thr"": 0.005}",1080,365,0.5674789106741942,-0.5015822772653578,-0.3793385728857174,0.4466548584235008,-0.74259716326283,96.0,48.0,0.192,-0.048777390000000004,0.2792277520358504
cex_daily_SOL,trend,ema_slope,"{""span"": 50, ""thr"": 0.0}",1080,365,1.3214505954004176,-0.4191879044565525,-0.4735287917938984,0.6060207707971533,-0.6904872282314116,69.0,34.5,0.138,-0.05086413000000001,3.089717750743036
cex_daily_SOL,trend,ema_slope,"{""span"": 50, ""thr"": 0.001}",1080,365,0.8723759251259822,-0.12648608854004878,-0.30336651285768657,0.47392395545625204,-0.5553504979700326,60.0,30.0,0.12000000000000001,-0.05063907,0.9782207724708445
cex_daily_SOL,trend,ema_slope,"{""span"": 50, ""thr"": 0.005}",1080,365,0.8661616413610445,-0.5899135488957153,-0.36217364489620407,0.4281925135650378,-0.7382228150477764,48.0,24.0,0.096,-0.026478210000000002,0.8923715008880813
cex_daily_SOL,trend,ema_slope,"{""span"": 100, ""thr"": 0.0}",1080,365,0.3967885332826101,-0.19681042763399687,-0.3670713014982758,0.5808180127174956,-0.5518787248250014,43.0,21.5,0.086,-0.04450119,-0.09010485226545217
cex_daily_SOL,trend,ema_slope,"{""span"": 100, ""thr"": 0.001}",1080,365,0.6110579654769989,0.07209977408317679,-0.18029364760046296,0.44048733068273627,-0.35103228882423887,34.0,17.0,0.068,-0.04332369,0.3381001768681169
cex_daily_SOL,trend,ema_slope,"{""span"": 100, ""thr"": 0.005}",1080,365,0.8065938534759286,-0.635293480106676,-0.27918702765287373,0.27918702765287373,-0.8655265120163046,20.0,10.0,0.04,-0.014704469999999999,0.7379468698540526
cex_daily_SOL,trend,price_ema,"{""span"": 20, ""thr"": 0.0}",1080,365,0.965873038881714,-0.13817992036991358,-0.33384407485898737,0.5054962122245855,-0.5747294862843759,121.0,60.5,0.242,-0.058434269999999996,1.2885909747627942
cex_daily_SOL,trend,price_ema,"{""span"": 20, ""thr"": 0.02}",1080,365,0.8814124071660014,-0.4874990105292393,-0.45126342881308934,0.503897223767005,-0.7893204358671022,104.0,52.0,0.20800000000000002,-0.05630127,0.9956005138244419
cex_daily_SOL,trend,price_ema,"{""span"": 20, ""thr"": 0.05}",1080,365,0.4226567366734693,-0.7808151486872263,-0.4673150820296692,0.5204288788168578,-0.7929145359506402,94.0,47.0,0.188,-0.047737680000000005,0.051918766073479894
